game_id,game_date,shot_number,game_shot_number,period,minutes_remaining,seconds_remaining,action_type,shot_type,shot_distance_ft,shot_zone_basic,shot_zone_area,shot_zone_range,loc_x,loc_y,shot_made,event_type,streak,rolling_3_fg_pct,rolling_5_fg_pct,rolling_10_fg_pct
0022400074,2024-10-24,1,1,1,11,2,Step Back Jump shot,3PT Field Goal,24,Above the Break 3,Right Side Center(RC),24+ ft.,81,229,0,Missed Shot,0,,,
0022400074,2024-10-24,2,2,1,9,52,Step Back Jump shot,3PT Field Goal,25,Above the Break 3,Left Side Center(LC),24+ ft.,-97,231,0,Missed Shot,-1,0.0,0.0,0.0
0022400074,2024-10-24,3,3,1,7,16,Running Layup Shot,2PT Field Goal,4,In The Paint (Non-RA),Center(C),Less Than 8 ft.,25,34,0,Missed Shot,-2,0.0,0.0,0.0
0022400074,2024-10-24,4,4,1,5,53,Step Back Jump shot,2PT Field Goal,17,Mid-Range,Center(C),16-24 ft.,4,177,0,Missed Shot,-3,0.0,0.0,0.0
0022400074,2024-10-24,5,5,1,4,59,Driving Finger Roll Layup Shot,2PT Field Goal,2,Restricted Area,Center(C),Less Than 8 ft.,21,5,1,Made Shot,-4,0.0,0.0,0.0
0022400074,2024-10-24,6,6,2,11,44,Turnaround Jump Shot,2PT Field Goal,9,In The Paint (Non-RA),Right Side(R),8-16 ft.,67,63,0,Missed Shot,1,0.3333333333333333,0.2,0.2
0022400074,2024-10-24,7,7,2,9,38,Step Back Jump shot,2PT Field Goal,15,Mid-Range,Left Side(L),8-16 ft.,-110,110,0,Missed Shot,-1,0.3333333333333333,0.2,0.16666666666666666
0022400074,2024-10-24,8,8,2,8,33,Driving Layup Shot,2PT Field Goal,2,Restricted Area,Center(C),Less Than 8 ft.,22,6,0,Missed Shot,-2,0.3333333333333333,0.2,0.14285714285714285
0022400074,2024-10-24,9,9,2,8,5,Driving Floating Bank Jump Shot,2PT Field Goal,8,In The Paint (Non-RA),Right Side(R),8-16 ft.,76,30,1,Made Shot,-3,0.0,0.2,0.125
0022400074,2024-10-24,10,10,2,6,47,Fadeaway Jump Shot,2PT Field Goal,18,Mid-Range,Right Side(R),16-24 ft.,163,95,1,Made Shot,1,0.3333333333333333,0.4,0.2222222222222222
0022400074,2024-10-24,11,11,2,6,14,Step Back Jump shot,3PT Field Goal,26,Above the Break 3,Center(C),24+ ft.,72,252,0,Missed Shot,2,0.6666666666666666,0.4,0.3
0022400074,2024-10-24,12,12,2,3,45,Driving Finger Roll Layup Shot,2PT Field Goal,3,Restricted Area,Center(C),Less Than 8 ft.,28,14,1,Made Shot,-1,0.6666666666666666,0.4,0.3
